phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,oxirane,acrolein,propanal,furan,cyclopentadiene,cyclopentene,crotonaldehyde (trans),crotonaldehyde (cis),benzene,4-pentenal,"1,2-epoxycyclopentane",cyclopentanone,cyclopent-2-enone,cyclopent-3-enone,cyclopent-2-enol,cyclopent-3-enol,H radical,hydroxy,hydroperoxy radical,hydrogen peroxide
100.0,0.000325,0.994675,0.005,1.0946636571400978,0.1366226551015291,5.0616193184967315,2.6421975466019574,324.3384143769977,0.37154826532670615,0.17270726080590876,0.0107385240954097,0.35298423275554663,0.0020961949026169096,0.00041827680437260957,0.43051783693269535,0.0518887188527627,0.00033221257838639924,0.011112229219880046,0.00012401019458663123,0.0014494800479495863,0.00008647189800074274,3.433424843913504e-6,0.0003722665812991028,0.0003722665812991028,6.041652265786714e-6,0.00027663781984946955,4991.683799167974,1.6845990170372934e-6,2.0712391322733654,0.011453744347289593,8.506570648157352e-9,1.3228778351909322e-9,0.0000305706469424798,2.915171409866795e-7,0.0006679114689420794,0.06261217047349031
20.0,0.001625,0.993375,0.005,12.769732234913882,3.8119490118401247,23.5070999199537,14.399742005266036,1610.1559170869664,5.724336011290151,2.371638006945804,0.28362440457397076,9.335881366011046,0.028052294149942432,0.03847939299972561,3.234094164321069,1.1549904661825023,0.019625105124478775,0.5373949960716271,0.004554573787207481,0.011440941431624899,0.0011435492001395952,0.00024744903068732584,0.03692537799252419,0.03692537799252419,0.00008013209974069845,0.009330385600956559,4947.829898362018,0.00022119588764075144,11.617414562487983,0.12730415528043149,6.143695094161251e-7,8.65188416739341e-8,0.00016528251841725102,7.73124304046653e-6,0.020562871275511367,1.8935111082492364
10.0,0.00325,0.99175,0.005,62.89346795206521,21.110867724650863,51.154789345727444,36.10218336531548,3167.3868485901744,28.833229807723363,13.33011689593492,1.9403945666091904,53.018751021293376,0.10149901146962713,0.44025102986113257,11.400132479268033,5.002566644903859,0.13421772640504182,4.1524030379402905,0.041315652448817415,0.043993555479491665,0.008355366703841814,0.00250245506814379,0.3887813721312273,0.3887813721312273,0.0006561857988078773,0.06755362713013266,4838.895771584222,0.0040828341330425835,28.906162684578,0.6108845347737636,0.000010177709900827258,1.037426675541256e-6,0.00040102150589137056,0.00004420463428460865,0.10832274472700318,9.689462087335585
6.0,0.005416667,0.989583333,0.005,231.91040368023235,79.63807734871168,92.26480612567441,74.32576536519451,5101.833238800288,102.40327885059476,52.27600727598075,7.955192855948589,200.83770401429913,0.22052184634679486,2.900763597245907,28.31974840483312,12.772143116407758,0.6178094687812237,17.849571431595255,0.24473143249838525,0.1310565221466874,0.035243224030030336,0.012884943037635033,1.9894502241626495,1.9894502241626495,0.003864267148840024,0.28887736562490485,4586.632493559081,0.036614969093543746,55.78498381008188,2.064486136781811,0.0001284624780335765,7.222950426470732e-6,0.000752374817162442,0.00017012434483197343,0.3708082861707218,31.821863314544263
3.0,0.010833333,0.984166667,0.005,1147.8401173473574,373.91913481272377,189.46457770925454,199.66065534225646,9308.268713096551,425.0193547055824,231.5139869232245,30.850537803688102,949.3234203815,0.37652223479335967,19.99794513790718,63.33149019132746,27.17630673573902,4.162689791114809,72.44118110664772,1.689422214296794,0.4467407674143727,0.09707036545106473,0.05753146354139319,8.602372859796839,8.602372859796839,0.02548609473562993,1.1864754236942758,3731.1721394832016,0.3651414539960352,104.89036192713935,7.352496297307272,0.0017997895379642504,0.000062031813584138,0.0015293460055588069,0.0008534262116237354,1.5810254259560819,126.72966468943591
2.75,0.011818182,0.983181818,0.005,1336.3296578628392,432.42790150151376,201.80056567353424,221.26509648780493,10047.754304396065,481.87234710374213,262.01024511782936,33.78726917966299,1099.032408980998,0.3801825072482635,23.216302879053867,66.40489755985926,28.071202690980325,5.015858045970877,79.91346541644116,1.9583377697563382,0.49762410591232265,0.10032220315186656,0.06274305592363233,9.483984921091386,9.483984921091386,0.029156353633597008,1.290147600499286,3596.930103687889,0.442536383262951,109.64514152953147,8.167296041850298,0.0021568066058953537,0.00007327619624446586,0.0016382079677646042,0.00099876659224049,1.8265468272740155,145.67544889856157
2.5,0.013,0.982,0.005,1552.032650216776,499.85098047360424,213.8785972467395,244.8381603282788,10947.025277834384,544.6367952643752,294.7403487892378,36.514467451511145,1270.776686889577,0.37920198359887725,26.65607781033643,69.06501775716457,28.623693072816685,6.04243410618888,87.19345080327713,2.2393660410051224,0.552617019734348,0.10197374444074556,0.06715128957421643,10.340623919403942,10.340623919403942,0.032754101894039184,1.3741485374797249,3452.7495632936716,0.5327489402279828,114.26372374411731,9.046918086740314,0.002524061518059088,0.00008502491151753064,0.0017530707320930264,0.0011691078241722538,2.1142699506478855,167.9978032553606
2.25,0.014444444,0.980555556,0.005,1793.515526622228,576.82634726292,224.90913516343952,269.6761488696869,12070.603247044948,612.7867145605577,328.8647156054616,38.78572060100689,1464.8411995697077,0.37290136749524766,30.1597589197338,71.1640437281433,28.728882526902872,7.263512514160138,93.8279028920863,2.5150003242014383,0.6108922422263962,0.10171418051225539,0.07019375270796391,11.126286837775488,11.126286837775488,0.03590860709192326,1.4238038784512301,3300.848400380587,0.6357439920695459,118.77286152988117,9.992488780842171,0.002865488217514691,0.00009621954789755223,0.0018702365251582157,0.0013663200107748741,2.449560050808076,194.2935928217497
2.0,0.01625,0.97875,0.005,2055.7366888849583,663.6547820301464,233.8083666145755,294.45336044263183,13518.408304289458,685.326595849074,363.15318832238165,40.307800426225874,1679.6604868090174,0.3608969934708027,33.48709778540989,72.5731980968335,28.292027795116056,8.694495108463093,99.27095214112697,2.760592513693439,0.6711499193909677,0.09935688538650889,0.07128514035000576,11.78929892400947,11.78929892400947,0.0381403889999609,1.4230536943787273,3144.5551285862266,0.7504712292593398,123.31576988851097,11.010692628736779,0.0031319568507772308,0.00010529549948893841,0.0019829815514512314,0.001590643176424761,2.836983484798943,225.2273181295947
1.75,0.018571429,0.976428571,0.005,2329.0046839512897,760.1225426730408,239.22020168634654,317.06003677023386,15449.967392695718,760.7862288410892,396.0408573090442,40.77640732204959,1911.1976686299688,0.34321189729188484,36.315843655382075,73.19903798604571,27.245040621629713,10.341574888368223,102.93867658007895,2.9462759675306596,0.7316961948759186,0.09489447227012751,0.06993189703912976,12.278082456460528,12.278082456460528,0.03893006219491548,1.3579806499013396,2988.178031028495,0.8746553103581988,128.21203278912523,12.118441906517543,0.003267934518209682,0.00011033241487236898,0.002080508031029347,0.001839773925929042,3.279554176058533,261.5270366438496
1.5,0.021666667,0.973333333,0.005,2598.820175623524,865.3415085982991,239.62112847395434,334.5658079760805,18131.26072829805,837.3032237377331,425.79686851742866,39.93307482332929,2152.7998659964383,0.32028976034569406,38.264221492718995,72.9809475818321,25.55794977279932,12.199463649148916,104.29748694355354,3.0417534712845007,0.7907490470148557,0.08851424997617134,0.06586660216768218,12.548076233654852,12.548076233654852,0.03784206128092546,1.221891871762306,2836.5116611120075,1.0046565954236768,134.02422417630294,13.346794367430942,0.003224463981727717,0.00010948126992991153,0.002147346285843993,0.002108283792284401,3.7782656047311307,304.004307258543
1.25,0.026,0.969,0.005,2847.299416668157,977.6823811829469,233.4960589153491,343.3900010666552,22036.161610837953,912.7351568353297,450.78272522407934,37.62694838630896,2396.0598911891884,0.29283291418521024,38.93537946394351,71.84591654658036,23.233415894841414,14.252029054054582,102.96620526059552,3.023241597983934,0.8470347089824781,0.08054439086405336,0.05914628129194796,12.56756126063765,12.56756126063765,0.03466225645307203,1.0202948609069369,2693.9361068581647,1.1351691484486017,141.63933482500673,14.739785725449075,0.00297474896080857,0.00010161232112463268,0.002163744871277418,0.0023881065094256593,4.332637463561482,353.6503145561797
1.1,0.029545455,0.965454545,0.005,2978.47055872056,1047.5763293058856,226.11753584895737,342.8942203086749,25320.759719157617,956.4621161752416,462.92699459248934,35.53295108823805,2539.402299917719,0.27444181401670903,38.57230943736401,70.65099669588031,21.535242854131237,15.567655438779452,100.80318432849593,2.952303343242471,0.8794325770817217,0.07514397950346198,0.053988782171537957,12.452136019330565,12.452136019330565,0.031773121507274404,0.8756103894987977,2614.012091177888,1.2105058392381354,147.6105072108608,15.672872028417867,0.002726946168414361,0.00009353460464351072,0.0021400056567310254,0.0025578468427149247,4.692038082594792,387.44627789914404
1.0,0.0325,0.9625,0.005,3056.229365330364,1094.8575433463755,219.48977673444892,339.6141594461003,28100.04641234762,984.5779614333469,469.70411668754207,33.85347322188079,2633.081032494169,0.26140960278691766,37.96881238308427,69.58840407574802,20.27318758104462,16.476590560558247,98.79554366206644,2.880077513316762,0.9006572469587085,0.0713189679026458,0.050156228732457314,12.322382167987552,12.322382167987552,0.02947467905090235,0.7730799759516104,2563.218211679456,1.2579421561174748,152.4136164725082,16.337925128098895,0.0025246719378884913,0.00008690915994525042,0.002106974660310059,0.0026709058674814173,4.943271023742647,411.9127437514052
0.9,0.036111111,0.958888889,0.005,3125.201976180278,1142.4661857413641,211.40171611969237,333.6604166379901,31534.248970226436,1011.5660651635278,475.37190340058976,31.96026338712318,2725.0883879415223,0.24772489124236388,37.05586110896396,68.2605932138316,18.900777917674016,17.409357744610553,96.34886280388893,2.788691118969566,0.9218263371707905,0.0673189062490369,0.046057803675687854,12.15237472620499,12.15237472620499,0.026909143942117908,0.6682712295204828,2514.337129191381,1.3018282809027322,158.05368859653296,17.034151928230997,0.0022961727805091217,0.00007944633563766974,0.0020582616545123593,0.002783722294637176,5.204528944515188,438.1445675173072
0.75,0.043333333,0.951666667,0.005,3210.668119747482,1214.0127691838322,196.32233204720364,319.05870709463346,38485.01578646539,1049.1075298664855,481.7118740044026,28.7521974870596,2860.388672444182,0.22577626586496463,35.07331456787677,65.61060606076273,16.611944769581047,18.850596610074074,91.89928103779859,2.6184374001602158,0.9541975669916585,0.06096294913623408,0.03951024651688215,11.832093935428402,11.832093935428402,0.02262886756570173,0.5120157368667687,2444.1152171641465,1.3571625404266625,168.53422176396109,18.11380004989745,0.0019123380269357815,0.0000670579589606173,0.0019517699686255785,0.002953141218947412,5.61784366573877,481.3938314699978
0.7,0.046428571,0.948571429,0.005,3234.0946615917696,1237.7618604068273,190.44684968534386,312.50114071362884,41486.894577767845,1060.5605979543727,483.22962527664475,27.593381570255822,2905.0600590824056,0.21800039628691997,34.242368465571936,64.49749684011863,15.779526787160705,19.34177524077002,90.22170227693516,2.5537224777107634,0.9653729981302228,0.05873324503185797,0.03724402788100604,11.712553812935377,11.712553812935377,0.021104140731929306,0.4614076813895352,2421.34024038297,1.3715107369822712,172.70115850224542,18.47193208577162,0.0017755455846636707,0.00006270854939584491,0.001906287933832837,0.0030100874296213297,5.76229296866049,497.0386114824504
0.65,0.05,0.945,0.005,3254.91048164694,1261.3860262489304,184.11040760282827,305.0060794805998,44962.69014753298,1071.3148536662961,484.438995443589,26.393925238834704,2949.7422246345313,0.2099430492046437,33.32401005901543,63.23767213260721,14.907771799871377,19.838219801016923,88.45400316246428,2.4855004004373704,0.9768528489229226,0.05643620558889617,0.03494556494594295,11.59003334566369,11.59003334566369,0.019538097309292048,0.412043884851366,2398.759443554314,1.3830279443004425,177.27741124791672,18.820900174850333,0.0016353048921220062,0.000058293959640421326,0.0018552691389956345,0.0030675942242159144,5.910674961347865,513.4044044989838
0.6,0.054166667,0.940833333,0.005,3273.0829045862547,1284.8220731574934,177.28247235417857,296.502697654078,49030.69697748284,1081.2251023718418,485.3300828404247,25.15649830578495,2994.6455230573833,0.20156024697614613,32.317104067560464,61.8052487637462,13.993178203307483,20.33992212970282,86.60133138964369,2.4141224215549,0.9887116954299079,0.0540610510526957,0.032620642675977904,11.467872219737396,11.467872219737396,0.0179356370328778,0.3642205549167608,2376.2701855360333,1.3910532621925136,182.31853498729978,19.15269223170534,0.0014922622196349153,0.000053842771195646274,0.0017983053893597524,0.003125969099137737,6.063487467069133,530.5767283877154
0.55,0.059090909,0.935909091,0.005,3288.5886383893417,1307.984997452635,169.92349211233287,286.904143015907,53852.244651828834,1090.0999299481014,485.88815878004107,23.883890663304392,3040.0518198427035,0.19279596946151945,31.220821792712584,60.167961371808445,13.031694069114819,20.84694724226841,84.66960639703345,2.33999346446586,1.0010232387474254,0.05159352964996445,0.03027508780189536,11.350813355582513,11.350813355582513,0.016301945369558132,0.31822614931002746,2353.742009439288,1.3947347716474374,187.8911741601078,19.456129591273545,0.0013471199492823855,0.0000493847049006117,0.001734904665871937,0.0031856307514334776,6.221361181311664,548.661609844741
0.48,0.067708333,0.927291667,0.005,3305.7895945561136,1339.7158758110781,158.625937841994,271.4122036868546,62316.41426498725,1100.2760006190429,486.06394895517565,22.048583620386786,3105.2092463460654,0.1797444226264784,29.53534424006837,57.45201679590133,11.597931985965973,21.566119911686044,81.84574178094074,2.2324900835873436,1.0191326346187894,0.047946759178960345,0.02696792152502055,11.209005931676959,11.209005931676959,0.013973065495799413,0.2574352424506953,2321.808011117967,1.3903995675242147,196.74353325841483,19.802280894440152,0.0011418962968023072,0.0000431911760850563,0.0016341401156120359,0.0032724481523096253,6.452463757939738,575.774528975602
0.45,0.072222222,0.922777778,0.005,3311.5469957716964,1352.9547151105087,153.3850810179134,263.95190877532815,66760.05145048599,1103.6119806731922,485.89972666898007,21.244548973795823,3134.0174780464263,0.17381427618930936,28.759500073050752,56.10459719280668,10.949013332342831,21.87793384575218,80.59785202802495,2.185409050942923,1.027219204256776,0.04629963912231925,0.02554584730874002,11.162284767622873,11.162284767622873,0.012963841818119342,0.23282779546476562,2307.8451145828717,1.3842316626676439,200.97395885238743,19.908727362540045,0.0010537612086817703,0.00004057352817700039,0.001586191213796424,0.003311322708622106,6.555748535384945,588.1405093975022
0.4,0.08125,0.91375,0.005,3318.9852106354665,1374.3095301708786,144.0379345670579,250.26860636786432,75662.38698933412,1107.382124025827,485.2550723451074,19.883214868241502,3183.7869220399416,0.16338072480518145,27.396594273071535,53.558455390521985,9.817034804274005,22.40311218914091,78.47592230191309,2.106066221213911,1.0410805996959638,0.04341413670561757,0.023174433681800416,11.115281773353084,11.115281773353084,0.011272735125955486,0.19394523652199405,2283.9609322334063,1.366533094690746,208.7092093292219,20.003906718758255,0.0009074789321314325,0.00003628767227728478,0.0014990913958530935,0.0033792604386292655,6.73466162624102,609.9292363963002
0.38,0.085526316,0.909473684,0.005,3321.203233150676,1382.522945838437,140.05978652829808,244.31105337693205,79884.87083782566,1108.127259191273,484.84863569258687,19.331597127547973,3204.487119236861,0.15898456870164224,26.82767279942092,52.418285932730996,9.345507817921256,22.615386170585996,77.61468668469819,2.074134442571101,1.0467212639410866,0.04220231889302495,0.022226615655151123,11.111251983989668,11.111251983989668,0.01059468520260683,0.1791824336359353,2274.118525132015,1.3563429514049647,212.07214814801318,20.004796584171228,0.000849415009346169,0.000034607203211943816,0.0014614877979104977,0.0034078297031470807,6.808926882895984,619.1119636096337
0.35,0.092857143,0.902142857,0.005,3323.713681936283,1394.370437562263,133.80230867816866,234.79337743979968,87130.00161088852,1108.23495435009,484.05078239931674,18.496791411130612,3236.6259706647074,0.15211187565761242,25.94997875316037,50.555975591317186,8.617030458373042,22.936628846199103,76.31234288111288,2.026137004933341,1.0552044196566563,0.040311547151194234,0.020806991754260505,11.126633848038,11.126633848038,0.009577823437746977,0.15793069259009532,2258.9457798361514,1.3370325619126058,217.44152484530633,19.954699197680167,0.0007630946128498125,0.00003213071867154932,0.0014017927636661898,0.0034525822791223095,6.923644920886728,633.4582906609847
0.31,0.10483871,0.89016129,0.005,3325.5154486148335,1408.9825253151707,124.84259687810926,220.88274431565176,98985.67211522181,1106.0460072434626,482.56143728993777,17.369725533379764,3282.031875694397,0.14234371576064367,24.737343278735434,47.74330092400435,7.6045787265686835,23.37154408683857,74.56212736430993,1.962075197611373,1.0662958951093926,0.037629913915088437,0.01892025027512779,11.199966013603195,11.199966013603195,0.008226307154671802,0.13133356964940604,2237.7336253931203,1.302260860001975,225.28183743910228,19.7659875985999,0.0006500456859593031,0.00002892561907490379,0.0013153552182792146,0.003516710753107293,7.083685649671541,653.8064756351024
0.29,0.112068966,0.882931034,0.005,3325.7361993955906,1415.5985685332344,120.05848384165304,213.33268515305778,106146.63394499033,1103.6986982631881,481.5891282953266,16.799777680022025,3306.1073194913165,0.1371562004728673,24.11466564822812,46.17192546754545,7.080228291966165,23.5926699056031,73.68406743639927,1.930021492801506,1.0715648638114197,0.036207559525485496,0.017980368384217352,11.266360460917504,11.266360460917504,0.007554369441205883,0.11880959071130837,2226.5898599576026,1.2802014744672554,229.53094439873212,19.60533519099658,0.0005947000589893343,0.000027371123910465763,0.001268832848517434,0.0035511889610098596,7.167190501370436,664.582088927984
0.25,0.13,0.865,0.005,3324.7306098362656,1426.8217782745246,109.76345951276234,196.8342828920168,123922.04450525294,1095.6909848918879,479.03220303972364,15.644681792381565,3357.8110185900005,0.1260478216712501,22.84244519951776,42.631725173955815,5.9951704773205226,24.045368940300737,71.93011217896128,1.8656283870768144,1.0808249371623333,0.033163626350241386,0.016109167906680155,11.480120957832202,11.480120957832202,0.00622366429156102,0.09537156395044163,2202.8816348570617,1.2243795663773396,238.78498391376147,19.109671226818822,0.0004872022855221533,0.00002437375988811267,0.0011681108971206666,0.003626511612900351,7.342378660622152,687.5589520366802
0.23,0.141304348,0.853695652,0.005,3323.4332536339844,1431.0404020203541,104.19026480870342,187.77704527945633,135137.56323335896,1089.5666093800285,477.35068537289794,15.057686604204049,3385.856162946466,0.12006258346929218,22.19614817630011,40.62880475023457,5.435068997961435,24.27895176223814,71.0581676592191,1.8330117805795614,1.0843232112612744,0.03152379654774359,0.015178167879525901,11.63900431561865,11.63900431561865,0.005567711706757071,0.08447977721084354,2190.1346795855916,1.1893881712680001,243.83551092926064,18.752588919351233,0.00043546615241516986,0.000022937320057657295,0.0011133564617756807,0.003668197647471838,7.434629743820937,699.8722616015723
0.21,0.154761905,0.840238095,0.005,3321.5177204028937,1433.9447070083932,98.28030061918867,178.0889362944465,148496.61262574466,1081.5961358350391,475.30489498179287,14.46233178426733,3415.708457244935,0.11373704834798636,21.54582900432514,38.442729865894485,4.864267716542433,24.51939422856648,70.19270052124209,1.7997439609145691,1.0865454946026927,0.029790558948822522,0.014250081976633916,11.842369897468362,11.842369897468362,0.004920384856698265,0.07415296470949931,2176.636670130645,1.1486408972318283,249.202329566166,18.30389605688473,0.0003854097390864739,0.000021546537926418944,0.0010552048589860185,0.0037133101171563983,7.530403438493552,712.8265695012662
0.2,0.1625,0.8325,0.005,3320.2916956197864,1434.772430177265,95.18346674790007,172.98124974530282,156181.07036618018,1076.7790152470996,474.1130955701632,14.16077005382809,3431.4097915915268,0.11043167898876619,21.219939646176684,37.27310209712472,4.57528768031093,24.642884835352067,69.76323930945294,1.7827145001259725,1.0869923274122089,0.028884768591996998,0.01378695978340345,11.96357815420582,11.96357815420582,0.004600647207942488,0.06920424539020675,2169.560170333169,1.1258075232341658,252.01292819279283,18.039691936694844,0.0003611066884386038,0.000020869120902417895,0.0010247178455100837,0.0037373775995510746,7.579712437253004,719.5695784159487
0.19,0.171052632,0.823947368,0.005,3318.8576412978605,1435.0915565326447,91.98233532762154,167.68085240105708,164676.63358917634,1071.313094283859,472.78622630044407,13.85607875974855,3447.6863670768753,0.10702216504717411,20.89401333461805,36.04761632491136,4.284253085863445,24.769038854265172,69.33644641019102,1.7653046829060701,1.0868627689085202,0.02795038240000672,0.013324278591872475,12.099539285035448,12.099539285035448,0.00428396100836446,0.06440000775772815,2162.2367349063657,1.1011474518511875,254.9130085829331,17.745486018094535,0.00033734490227057645,0.000020204035791815626,0.0009932039190510085,0.003762597802004597,7.630020698864931,726.5050976060536
0.17,0.191176471,0.803823529,0.005,3315.229382196778,1433.830556830982,85.2327213733825,156.44148940900698,184674.06310469616,1058.0691345846144,469.637407310737,13.235092617520339,3482.1585645735477,0.09985990706591627,20.24339934891816,33.41268881158584,3.6974300410859122,25.031241690774632,68.49239465276824,1.7288343055280329,1.0843239537433946,0.025987499589931556,0.012399340870139913,12.421583381797978,12.421583381797978,0.0036612998969059105,0.05522851124075176,2146.748607428917,1.045691682755564,260.99545690842314,17.05497846704051,0.0002916434309942949,0.00001891130326734894,0.0009267875722638398,0.0038170244470169734,7.7337588056846664,741.0048415084756
0.15,0.216666667,0.778333333,0.005,3310.220532944527,1429.1724325735133,77.95168392331473,144.22944882353278,210017.10604510218,1040.932049952652,465.6232969688543,12.593504453449274,3519.5287134025266,0.09218263181025818,19.596260711322167,30.501510261208225,3.10757415112427,25.310819081109994,67.66351600654771,1.6889095146895943,1.0774540503939123,0.023883769594568123,0.011472454200634105,12.821057832230911,12.821057832230911,0.00305606915314382,0.04664438113598548,2129.9442188635608,0.9807714796848138,267.4752985254713,16.204545762878993,0.0002487499958887294,0.00001766732277013819,0.0008552322092594506,0.003877837547345663,7.841744378864705,756.4366280164721
0.13,0.25,0.745,0.005,3303.0299292570485,1419.5452933702466,70.03848972306587,130.86145317578288,243174.9953985449,1018.5048576970463,460.378010334124,11.92214092422221,3560.1708826786303,0.08391463909567777,18.9527771698534,27.271606532538904,2.5205230276173456,25.61459304110215,66.85191875800697,1.643142320800986,1.0638918471373986,0.021618876551772685,0.010538232465971508,13.310535182855403,13.310535182855403,0.0024730794342057386,0.038651075961025315,2111.554118425,0.9045263482091386,274.37074175640146,15.15944801981277,0.00020919458351143272,0.000016465649298092813,0.0007775880323199972,0.003946640410097203,7.953702059142158,772.920676910787
0.11,0.295454545,0.699545455,0.005,3291.9947621466645,1402.3111845262417,61.36552712898738,116.09417733172005,288413.924796001,988.5832345749446,453.30234416880086,11.206219107683001,3604.216741162445,0.07498051597208527,18.30650203693256,23.675474546324878,1.94523823652564,25.951713980963753,66.05637375306476,1.5874286919819296,1.0397051611385246,0.019171358876126386,0.009586339102858124,13.897627326971282,13.897627326971282,0.0019187907066355691,0.031248163132459005,2091.2970621011627,0.8146608837089753,281.68329014881635,13.876341178607916,0.0001735965345133908,0.000015287891820341447,0.0006925647891291271,0.004025402160159469,8.068338094262186,790.5692523601149
0.1,0.325,0.67,0.005,3284.0104849811873,1389.4908029068174,56.695401765370406,108.08659448488454,317830.7681062102,969.7432224878695,448.7781466709038,10.824374491547553,3627.3450956632078,0.07024636394033272,17.975737219788417,21.724926112433618,1.6660461957728119,26.136015276469283,65.66171590029144,1.553750369729403,1.0216566013639015,0.017872760365689855,0.009098018314116094,14.225465789238141,14.225465789238141,0.001655061563285506,0.027766217039019617,2080.4062990445386,0.7637709736104304,285.4884263706995,13.129243049841609,0.0001574935608547944,0.000014695508722682453,0.0006467428151678969,0.004069168846002418,8.125621483857024,799.8513996492511
